full_address,council_area,property_type,development_zone_base,property_count,lot_size
700 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,73,Large
155 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,73,Large
55 HOPKINS STREET,MARIBYRNONG,UNIT,Activity Centre Zone,73,Large
87 HIGH STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,73,Large
8 GARDEN STREET,STONNINGTON,UNIT,Activity Centre Zone,72,Large
1101 TOORAK ROAD,BOROONDARA,UNIT,Commercial 1 Zone,72,Large
568 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,72,Large
400 VICTORIA PARADE,MELBOURNE,UNIT,General Residential Zone,72,Large
19 RUSSELL STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,72,Large
1 ACACIA PLACE,YARRA,UNIT,Commercial 1 Zone,72,Large
139 BOUVERIE STREET,MELBOURNE,UNIT,Capital City Zone,71,Large
431 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,71,Large
9 EARL STREET,MELBOURNE,UNIT,Mixed Use Zone,71,Large
1 QUEENS AVENUE,BOROONDARA,UNIT,Commercial 1 Zone,71,Large
10 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,71,Large
37 BREESE STREET,MERRI-BEK,UNIT,Commercial 1 Zone,71,Large
55 MERCHANT STREET,MELBOURNE,UNIT,Docklands Zone,71,Large
23 BLACKWOOD STREET,MELBOURNE,UNIT,Mixed Use Zone,71,Large
17 LYNCH STREET,BOROONDARA,UNIT,Commercial 1 Zone,70,Large
1050 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,70,Large
518 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,70,Large
320 ST KILDA ROAD,MELBOURNE,UNIT,Mixed Use Zone,70,Large
500 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,70,Large
45 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,70,Large
166 WELLINGTON PARADE,MELBOURNE,UNIT,Commercial 1 Zone,70,Large
2 GILLIES STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,69,Large
480 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,69,Large
5 SOVEREIGN POINT COURT,MANNINGHAM,UNIT,Activity Centre Zone,68,Large
179 BOUNDARY ROAD,MELBOURNE,UNIT,Commercial 1 Zone,68,Large
1 DYER STREET,YARRA,UNIT,Mixed Use Zone,68,Large
2 EASTERN PLACE,BOROONDARA,UNIT,Commercial 1 Zone,68,Large
4 ACACIA PLACE,YARRA,UNIT,Commercial 1 Zone,68,Large
139 BOURKE STREET,MELBOURNE,UNIT,Capital City Zone,68,Large
1044 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,68,Large
151 BERKELEY STREET,MELBOURNE,UNIT,Capital City Zone,68,Large
1 ENCOUNTER WAY,MELBOURNE,UNIT,Docklands Zone,67,Large
101 BAY STREET,PORT PHILLIP,UNIT,Mixed Use Zone,67,Large
227 TOORAK ROAD,STONNINGTON,UNIT,Activity Centre Zone,67,Large
2 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,67,Large
127 LEICESTER STREET,MELBOURNE,UNIT,Capital City Zone,67,Large
38 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,66,Large
211 WELLINGTON PARADE SOUTH,MELBOURNE,UNIT,General Residential Zone,66,Large
92 ALBERT STREET,MERRI-BEK,UNIT,Mixed Use Zone,66,Large
862 GLENFERRIE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,66,Large
2 NEWMARKET WAY,MOONEE VALLEY,UNIT,General Residential Zone,66,Large
88 PARK STREET,PORT PHILLIP,UNIT,Mixed Use Zone,66,Large
205 BURNLEY STREET,YARRA,UNIT,General Residential Zone,65,Large
8 GARFIELD STREET,YARRA,UNIT,Mixed Use Zone,65,Large
25 TRENT STREET,BOROONDARA,UNIT,Commercial 1 Zone,65,Large
668 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,65,Large
31 MALCOLM STREET,STONNINGTON,UNIT,Activity Centre Zone,65,Large
360 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,64,Large
299 QUEEN STREET,MELBOURNE,UNIT,Capital City Zone,64,Large
88 WELLS STREET,MELBOURNE,HOUSE,Mixed Use Zone,64,Large
8 WALLEN ROAD,BOROONDARA,UNIT,Mixed Use Zone,64,Large
23 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,64,Large
1501 MALVERN ROAD,STONNINGTON,UNIT,Commercial 1 Zone,64,Large
1 GRAHAM STREET,PORT PHILLIP,UNIT,Residential Growth Zone,64,Large
110 KEILOR ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,63,Large
71 HENRY STREET,MELBOURNE,UNIT,General Residential Zone,63,Large
54 LA SCALA AVENUE,MARIBYRNONG,UNIT,Comprehensive Development Zone,62,Large
1 ROY STREET,PORT PHILLIP,UNIT,Residential Growth Zone,62,Large
4 BREESE STREET,MERRI-BEK,HOUSE,Commercial 1 Zone,62,Large
253 FRANKLIN STREET,MELBOURNE,HOUSE,Capital City Zone,62,Large
39 APPLETON STREET,YARRA,UNIT,Mixed Use Zone,62,Large
112 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,62,Large
7 RED HILL TERRACE,MANNINGHAM,UNIT,Residential Growth Zone,62,Large
750 BOURKE STREET,MELBOURNE,UNIT,Docklands Zone,62,Large
26 BREESE STREET,MERRI-BEK,UNIT,Commercial 1 Zone,62,Large
171 FLEMINGTON ROAD,MELBOURNE,UNIT,General Residential Zone,62,Large
44 SKYLINE DRIVE,MARIBYRNONG,UNIT,Comprehensive Development Zone,61,Large
232 ROUSE STREET,PORT PHILLIP,UNIT,Mixed Use Zone,61,Large
64 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,61,Large
158 SMITH STREET,YARRA,UNIT,Commercial 1 Zone,61,Large
661 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,61,Large
55 VILLIERS STREET,MELBOURNE,UNIT,Mixed Use Zone,61,Large
279 WELLINGTON PARADE SOUTH,MELBOURNE,UNIT,Mixed Use Zone,61,Large
39 DORCAS STREET,PORT PHILLIP,UNIT,Mixed Use Zone,60,Large
99 DOW STREET,PORT PHILLIP,UNIT,Mixed Use Zone,60,Large
187 REYNOLDS ROAD,MANNINGHAM,UNIT,Residential Growth Zone,60,Large
33 JUDD STREET,YARRA,UNIT,Commercial 1 Zone,60,Large
801 BOURKE STREET,MELBOURNE,UNIT,Docklands Zone,60,Large
60 BELGRAVE ROAD,STONNINGTON,HOUSE,Commercial 1 Zone,60,Large
64 KEILOR ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,60,Large
72 ALTONA STREET,MELBOURNE,UNIT,General Residential Zone,59,Large
951 DANDENONG ROAD,STONNINGTON,UNIT,Residential Growth Zone,59,Large
68 LEVESON STREET,MELBOURNE,UNIT,Mixed Use Zone,59,Large
16 LIVERPOOL STREET,MELBOURNE,UNIT,Capital City Zone,59,Large
18 YARRA STREET,STONNINGTON,UNIT,Activity Centre Zone,59,Large
9 DEGRAVES STREET,MELBOURNE,UNIT,Capital City Zone,59,Large
699 BARKLY STREET,MARIBYRNONG,UNIT,General Residential Zone,59,Large
314 PASCOE VALE ROAD,MOONEE VALLEY,UNIT,Mixed Use Zone,59,Large
392 SPENCER STREET,MELBOURNE,UNIT,Mixed Use Zone,58,Large
82 BULLA ROAD,MOONEE VALLEY,UNIT,General Residential Zone,58,Large
238 FLINDERS LANE,MELBOURNE,UNIT,Capital City Zone,58,Large
29 LYNCH STREET,BOROONDARA,UNIT,Commercial 1 Zone,58,Large
501 LITTLE COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,58,Large
31 QUEENS AVENUE,BOROONDARA,UNIT,Commercial 1 Zone,58,Large
56 NICHOLSON STREET,MOONEE VALLEY,UNIT,General Residential Zone,57,Large
338 KINGS WAY,PORT PHILLIP,UNIT,Commercial 1 Zone,57,Large
14 QUEENS ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,57,Large
30 BURNLEY STREET,YARRA,UNIT,General Residential Zone,57,Large
9 ROBERT STREET,PORT PHILLIP,UNIT,General Residential Zone,57,Large
20 BURNLEY STREET,YARRA,UNIT,General Residential Zone,57,Large
1 WILLIAM STREET,MANNINGHAM,UNIT,General Residential Zone,57,Large
408 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,57,Large
8 HEPBURN ROAD,MANNINGHAM,UNIT,Activity Centre Zone,57,Large
2 MCGOUN STREET,YARRA,HOUSE,Mixed Use Zone,57,Large
60 SPEAKMEN STREET,MELBOURNE,UNIT,General Residential Zone,57,Large
48 BALSTON STREET,MELBOURNE,UNIT,Capital City Zone,57,Large
85 MARKET STREET,MELBOURNE,HOUSE,General Residential Zone,57,Large
88 LA SCALA AVENUE,MARIBYRNONG,UNIT,Comprehensive Development Zone,57,Large
9 COMMERCIAL ROAD,MELBOURNE,HOUSE,Commercial 1 Zone,56,Large
1 QUEENSBERRY STREET,MELBOURNE,UNIT,Mixed Use Zone,56,Large
57 BAY STREET,PORT PHILLIP,UNIT,Mixed Use Zone,56,Large
350 VICTORIA STREET,MELBOURNE,HOUSE,Mixed Use Zone,56,Large
11 SHAMROCK STREET,YARRA,UNIT,Priority Development Zone,56,Large
69 DORCAS STREET,PORT PHILLIP,UNIT,Mixed Use Zone,56,Large
7 BERKELEY STREET,MANNINGHAM,UNIT,Activity Centre Zone,56,Large
89 RODEN STREET,MELBOURNE,UNIT,Mixed Use Zone,56,Large
828 BURKE ROAD,BOROONDARA,UNIT,General Residential Zone,56,Large
47 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,55,Large
243 TOORAK ROAD,STONNINGTON,UNIT,Activity Centre Zone,55,Large
1 WELLINGTON CRESCENT,MELBOURNE,UNIT,General Residential Zone,55,Large
32 LILYDALE GROVE,BOROONDARA,UNIT,Commercial 1 Zone,55,Large
135 INKERMAN STREET,PORT PHILLIP,UNIT,Mixed Use Zone,55,Large
82 QUEENS ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,55,Large
26 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,55,Large
368 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,55,Large
184 WHITEHORSE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,55,Large
6 LISSON GROVE,BOROONDARA,UNIT,General Residential Zone,55,Large
8 BERKELEY STREET,MANNINGHAM,UNIT,Activity Centre Zone,54,Large
881 HIGH STREET,BOROONDARA,UNIT,General Residential Zone,54,Large
1 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,54,Large
200 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,54,Large
275 ABBOTSFORD STREET,MELBOURNE,UNIT,Mixed Use Zone,54,Large
1 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,54,Large
255 RACECOURSE ROAD,MELBOURNE,UNIT,Mixed Use Zone,54,Large
757 BOURKE STREET,MELBOURNE,UNIT,Docklands Zone,54,Large
611 SYDNEY ROAD,MERRI-BEK,UNIT,Commercial 1 Zone,54,Large
1 POWLETT STREET,MELBOURNE,UNIT,Commercial 1 Zone,54,Large
108 UNION STREET,MERRI-BEK,UNIT,Mixed Use Zone,54,Large
264 DRUMMOND STREET,MELBOURNE,HOUSE,General Residential Zone,53,Large
55 CUMBERLAND DRIVE,MARIBYRNONG,UNIT,Comprehensive Development Zone,53,Large
63 DORCAS STREET,PORT PHILLIP,UNIT,Mixed Use Zone,53,Large
25 ALMA ROAD,PORT PHILLIP,UNIT,Mixed Use Zone,53,Large
525 RATHDOWNE STREET,MELBOURNE,UNIT,Residential Growth Zone,53,Large
51 BUCKLEY STREET,MOONEE VALLEY,UNIT,General Residential Zone,53,Large
343 BEACONSFIELD PARADE,PORT PHILLIP,HOUSE,Residential Growth Zone,52,Large
251 BALLARAT ROAD,MARIBYRNONG,UNIT,General Residential Zone,52,Large
144 CLARENDON STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,52,Large
10 TRENERRY CRESCENT,YARRA,UNIT,Commercial 1 Zone,52,Large
455 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,52,Large
1 BRUNSWICK ROAD,MERRI-BEK,UNIT,Commercial 1 Zone,52,Large
97 FLEMINGTON ROAD,MELBOURNE,UNIT,Mixed Use Zone,52,Large
682 NICHOLSON STREET,YARRA,UNIT,General Residential Zone,52,Large
121 ROSSLYN STREET,MELBOURNE,UNIT,Mixed Use Zone,52,Large
80 ORMOND STREET,MELBOURNE,UNIT,General Residential Zone,52,Large
4 LA SCALA AVENUE,MARIBYRNONG,UNIT,Comprehensive Development Zone,52,Large
2 GLENTI PLACE,MELBOURNE,UNIT,Docklands Zone,52,Large
9 RED HILL TERRACE,MANNINGHAM,UNIT,Residential Growth Zone,52,Large
190 ALBERT STREET,MELBOURNE,HOUSE,General Residential Zone,51,Large
23 CUMBERLAND ROAD,MERRI-BEK,UNIT,General Residential Zone,51,Large
11 COHEN PLACE,MELBOURNE,UNIT,Capital City Zone,51,Large
101 GRATTAN STREET,MELBOURNE,UNIT,Mixed Use Zone,51,Large
39 RACECOURSE ROAD,MELBOURNE,UNIT,Commercial 1 Zone,51,Large
96 CAMBERWELL ROAD,BOROONDARA,UNIT,Commercial 1 Zone,51,Large
20 PIER LANE,MARIBYRNONG,UNIT,Comprehensive Development Zone,51,Large
93 FLEMINGTON ROAD,MELBOURNE,UNIT,Mixed Use Zone,51,Large
10 BURNLEY STREET,YARRA,UNIT,General Residential Zone,51,Large
341 ASCOT VALE ROAD,MOONEE VALLEY,UNIT,Activity Centre Zone,51,Large
67 STEAD STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,50,Large
18 RUSSELL PLACE,MELBOURNE,UNIT,Capital City Zone,50,Large
72 HIGH STREET,STONNINGTON,UNIT,Activity Centre Zone,50,Large
299 SPRING STREET,MELBOURNE,UNIT,Capital City Zone,50,Large
60 EDGEWATER BOULEVARD,MARIBYRNONG,UNIT,Comprehensive Development Zone,50,Large
5 ALMA ROAD,PORT PHILLIP,UNIT,Mixed Use Zone,50,Large
535 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Activity Centre Zone,50,Large
163 FITZROY STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,50,Large
6 MURPHY STREET,STONNINGTON,UNIT,Activity Centre Zone,49,Large
115 SWANSTON STREET,MELBOURNE,UNIT,Capital City Zone,49,Large
3 MITCHELL STREET,MANNINGHAM,UNIT,Mixed Use Zone,49,Large
270 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,49,Large
330 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,49,Large
589 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,49,Large
120 HIGH STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,49,Large
2 MONTROSE PLACE,BOROONDARA,UNIT,Commercial 1 Zone,49,Large
32 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,49,Large
228 THE AVENUE,MELBOURNE,UNIT,General Residential Zone,48,Large
51 GALADA AVENUE,MELBOURNE,UNIT,Residential Growth Zone,48,Large
127 BEACH STREET,PORT PHILLIP,UNIT,Residential Growth Zone,48,Large
5 FULTON STREET,PORT PHILLIP,FLATS,General Residential Zone,48,Large
304 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,48,Large
44 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,48,Large
201 HIGH STREET,STONNINGTON,UNIT,Activity Centre Zone,48,Large
40 COLLINS STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,48,Large
480 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,48,Large
75 DRUMMOND STREET,MELBOURNE,UNIT,Mixed Use Zone,48,Large
394 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,47,Large
8 HOWARD STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,47,Large
9 HIGH STREET,MELBOURNE,UNIT,Mixed Use Zone,47,Large
591 ELIZABETH STREET,MELBOURNE,UNIT,Capital City Zone,47,Large
66 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,47,Large
604 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,47,Large
87 RALEIGH STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,47,Large
369 HIGH STREET,MANNINGHAM,UNIT,General Residential Zone,47,Large
11 DAVID STREET,GREATER DANDENONG,UNIT,General Residential Zone,47,Large
24 LITTLE BOURKE STREET,MELBOURNE,UNIT,Capital City Zone,47,Large
88 TRENERRY CRESCENT,YARRA,HOUSE,Commercial 1 Zone,46,Large
43 PARK STREET,BOROONDARA,UNIT,General Residential Zone,46,Large
470 SMITH STREET,YARRA,UNIT,Commercial 1 Zone,46,Large
839 DANDENONG ROAD,STONNINGTON,UNIT,Commercial 1 Zone,46,Large
12 ALBERT STREET,STONNINGTON,HOUSE,Neighbourhood Residential Zone,46,Large
2 CLARENCE STREET,STONNINGTON,UNIT,Commercial 1 Zone,46,Large
33 JAMES STREET,STONNINGTON,UNIT,General Residential Zone,46,Large
75 WELLINGTON STREET,YARRA,UNIT,Mixed Use Zone,46,Large
316 PASCOE VALE ROAD,MOONEE VALLEY,HOUSE,Mixed Use Zone,46,Large
460 VICTORIA STREET,MERRI-BEK,UNIT,Mixed Use Zone,46,Large
35 DAVID STREET,GREATER DANDENONG,UNIT,General Residential Zone,46,Large
416 GORE STREET,YARRA,UNIT,Mixed Use Zone,46,Large
376 TOORAK ROAD,STONNINGTON,UNIT,Residential Growth Zone,46,Large
99 A'BECKETT STREET,MELBOURNE,HOUSE,Capital City Zone,45,Large
1005 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,45,Large
76 KEILOR ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,45,Large
161 STURT STREET,MELBOURNE,UNIT,Capital City Zone,45,Large
99 NOTT STREET,PORT PHILLIP,UNIT,Mixed Use Zone,45,Large
191 POWLETT STREET,MELBOURNE,UNIT,Mixed Use Zone,45,Large
635 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,45,Large
100 COMMERCIAL ROAD,MELBOURNE,UNIT,General Residential Zone,45,Large
172 WILLIAM STREET,MELBOURNE,UNIT,Capital City Zone,45,Large
270 HIGH STREET,STONNINGTON,UNIT,Activity Centre Zone,45,Large
160 WILLIAMSONS ROAD,MANNINGHAM,UNIT,General Residential Zone,45,Large
163 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,44,Large
10 DROOP STREET,MARIBYRNONG,UNIT,Activity Centre Zone,44,Large
8 BURROWES STREET,MOONEE VALLEY,UNIT,General Residential Zone,44,Large
27 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,44,Large
12 CREFDEN STREET,MARIBYRNONG,UNIT,General Residential Zone,44,Large
21 MORELAND STREET,MARIBYRNONG,UNIT,Activity Centre Zone,44,Large
81 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,44,Large
88 TRAM ROAD,MANNINGHAM,UNIT,Activity Centre Zone,44,Large
2 BAILEY CRESCENT,MERRI-BEK,UNIT,General Residential Zone,44,Large
1 DONALD STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,43,Large
459 ROYAL PARADE,MELBOURNE,UNIT,Commercial 1 Zone,43,Large
33 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,43,Large
1 PORTER STREET,BOROONDARA,UNIT,Commercial 1 Zone,43,Large
31 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,43,Large
68 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,43,Large
140 DUDLEY STREET,MELBOURNE,UNIT,Mixed Use Zone,43,Large
160 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,43,Large
74 EASTERN ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,43,Large
333 BEACONSFIELD PARADE,PORT PHILLIP,UNIT,Residential Growth Zone,43,Large
176 EDWARD STREET,MERRI-BEK,UNIT,Mixed Use Zone,43,Large
441 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,43,Large
77 VILLAGE WAY,MARIBYRNONG,HOUSE,Comprehensive Development Zone,43,Large
172 EDWARD STREET,MERRI-BEK,UNIT,Mixed Use Zone,43,Large
108 GREVILLE STREET,STONNINGTON,UNIT,Activity Centre Zone,43,Large
1 DANKS STREET WEST,PORT PHILLIP,UNIT,Mixed Use Zone,43,Large
95 ROUSE STREET,PORT PHILLIP,UNIT,Mixed Use Zone,43,Large
20 CAMBERWELL ROAD,BOROONDARA,UNIT,Commercial 1 Zone,43,Large
10 PORTER STREET,STONNINGTON,UNIT,Activity Centre Zone,43,Large
324 PASCOE VALE ROAD,MOONEE VALLEY,UNIT,General Residential Zone,43,Large
70 NOTT STREET,PORT PHILLIP,UNIT,Mixed Use Zone,43,Large
10 HOPE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,43,Large
2 HENRY STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,43,Large
40 STANLEY STREET,YARRA,UNIT,Mixed Use Zone,43,Large
35 SIMMONS STREET,STONNINGTON,UNIT,Activity Centre Zone,43,Large
55 COLLINS STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,42,Large
202 THE AVENUE,MELBOURNE,UNIT,General Residential Zone,42,Large
1245 BURKE ROAD,BOROONDARA,UNIT,General Residential Zone,42,Large
23 PALMERSTON STREET,MELBOURNE,HOUSE,Residential Growth Zone,42,Large
3 VICTORIA STREET,STONNINGTON,UNIT,Activity Centre Zone,42,Large
33 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,42,Large
19 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,42,Large
7 MONTROSE STREET,BOROONDARA,UNIT,Commercial 1 Zone,42,Large
185 WESTON STREET,MERRI-BEK,UNIT,Mixed Use Zone,42,Large
29 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,42,Large
666 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,42,Large
20 GARDEN STREET,STONNINGTON,UNIT,Activity Centre Zone,42,Large
71 ABINGER STREET,YARRA,UNIT,Mixed Use Zone,42,Large
52 DARLING STREET,STONNINGTON,UNIT,General Residential Zone,42,Large
18 BENT STREET,MELBOURNE,UNIT,Mixed Use Zone,42,Large
132 SMITH STREET,YARRA,UNIT,Commercial 1 Zone,42,Large
1615 MALVERN ROAD,STONNINGTON,UNIT,Commercial 1 Zone,42,Large
1 RED HILL TERRACE,MANNINGHAM,UNIT,Residential Growth Zone,42,Large
24 BARKLY STREET,MERRI-BEK,UNIT,Commercial 1 Zone,41,Large
115 BEACH STREET,PORT PHILLIP,UNIT,Residential Growth Zone,41,Large
478 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,41,Large
240 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,41,Large
152 PEEL STREET,STONNINGTON,HOUSE,General Residential Zone,41,Large
151 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,41,Large
523 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,41,Large
38 CUNNINGHAM STREET,STONNINGTON,UNIT,Activity Centre Zone,41,Large
85 ROUSE STREET,PORT PHILLIP,UNIT,Mixed Use Zone,41,Large
139 CHETWYND STREET,MELBOURNE,UNIT,Mixed Use Zone,41,Large
111 LEICESTER STREET,MELBOURNE,UNIT,Capital City Zone,41,Large
9 EADES STREET,MELBOURNE,UNIT,Commercial 1 Zone,41,Large
2 TWEED STREET,BOROONDARA,UNIT,Commercial 1 Zone,41,Large
454 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,41,Large
183 BRIDGE ROAD,YARRA,UNIT,Commercial 1 Zone,41,Large
11 URQUHART STREET,MERRI-BEK,UNIT,Activity Centre Zone,40,Large
8 HOWLETT STREET,MELBOURNE,UNIT,General Residential Zone,40,Large
40 ALTONA STREET,MELBOURNE,UNIT,General Residential Zone,40,Large
45 VICTORIA PARADE,YARRA,UNIT,Commercial 1 Zone,40,Large
121 POWER STREET,BOROONDARA,UNIT,Commercial 1 Zone,40,Large
77 GALADA AVENUE,MELBOURNE,UNIT,Residential Growth Zone,40,Large
242 HIGH STREET,STONNINGTON,UNIT,Activity Centre Zone,40,Large
54 NOTT STREET,PORT PHILLIP,UNIT,Mixed Use Zone,40,Large
665 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,40,Large
18 BERKELEY STREET,MANNINGHAM,HOUSE,Activity Centre Zone,40,Large
9 MILLER STREET,YARRA,UNIT,General Residential Zone,40,Large
633 CHURCH STREET,YARRA,UNIT,Commercial 1 Zone,40,Large
8 NORTH STREET,MOONEE VALLEY,HOUSE,Commercial 1 Zone,40,Large
321 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,40,Large
44 EUCALYPTUS DRIVE,MARIBYRNONG,UNIT,General Residential Zone,40,Large
75 PALMERSTON CRESCENT,PORT PHILLIP,UNIT,Commercial 1 Zone,40,Large
52 NOTT STREET,PORT PHILLIP,UNIT,Mixed Use Zone,40,Large
30 WRECKYN STREET,MELBOURNE,UNIT,Mixed Use Zone,40,Large
16 CHAPEL STREET,PORT PHILLIP,UNIT,General Residential Zone,39,Large
150 PEEL STREET,MELBOURNE,UNIT,Capital City Zone,39,Large
8 BURNLEY STREET,YARRA,UNIT,General Residential Zone,39,Large
27 WILSON AVENUE,MERRI-BEK,UNIT,Commercial 1 Zone,39,Large
8 CREFDEN STREET,MARIBYRNONG,UNIT,General Residential Zone,39,Large
436 BURKE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,39,Large
1 MANNA GUM COURT,MERRI-BEK,UNIT,General Residential Zone,39,Large
2 LA SCALA AVENUE,MARIBYRNONG,UNIT,Comprehensive Development Zone,39,Large
550 LYGON STREET,MELBOURNE,UNIT,Residential Growth Zone,39,Large
51 NAPOLEON STREET,YARRA,UNIT,Mixed Use Zone,39,Large
167 FITZROY STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,39,Large
546 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,39,Large
9 BEACH STREET,PORT PHILLIP,UNIT,Mixed Use Zone,39,Large
30 LEONARD CRESCENT,MOONEE VALLEY,UNIT,General Residential Zone,39,Large
36 REGENT STREET,YARRA,UNIT,Mixed Use Zone,39,Large
36 COLLINS STREET,MOONEE VALLEY,UNIT,Commercial 1 Zone,39,Large
88 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,39,Large
36 WILSON STREET,STONNINGTON,UNIT,Activity Centre Zone,39,Large
85 RATHDOWNE STREET,MELBOURNE,UNIT,Mixed Use Zone,39,Large
1 EVERGREEN MEWS,STONNINGTON,UNIT,Mixed Use Zone,39,Large
201 WELLINGTON PARADE SOUTH,MELBOURNE,UNIT,General Residential Zone,39,Large
116 INKERMAN STREET,PORT PHILLIP,UNIT,General Residential Zone,38,Large
1 PEEL STREET,STONNINGTON,UNIT,Commercial 1 Zone,38,Large
250 GORE STREET,YARRA,UNIT,Commercial 1 Zone,38,Large
233 DANDENONG ROAD,STONNINGTON,UNIT,Residential Growth Zone,38,Large
350 BEACONSFIELD PARADE,PORT PHILLIP,UNIT,Residential Growth Zone,38,Large
150 DUDLEY STREET,MELBOURNE,UNIT,Mixed Use Zone,38,Large
1 DODS STREET,MERRI-BEK,UNIT,Commercial 1 Zone,38,Large
