full_address,council_area,property_type,development_zone_base,property_count,lot_size
505 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,79,Large
139 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,79,Large
812 SYDNEY ROAD,MERRI-BEK,UNIT,Commercial 1 Zone,79,Large
70 QUEENS ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,78,Large
22 COROMANDEL PLACE,MELBOURNE,UNIT,Capital City Zone,78,Large
8 MONTROSE STREET,BOROONDARA,UNIT,Commercial 1 Zone,78,Large
24 BARKLY PLACE,MELBOURNE,UNIT,Capital City Zone,78,Large
91 GALADA AVENUE,MELBOURNE,UNIT,Residential Growth Zone,78,Large
6 HIGH STREET,MELBOURNE,UNIT,Mixed Use Zone,78,Large
16 PORTER STREET,STONNINGTON,UNIT,Activity Centre Zone,77,Large
188 MACAULAY ROAD,MELBOURNE,UNIT,Mixed Use Zone,77,Large
43 THERRY STREET,MELBOURNE,UNIT,Capital City Zone,77,Large
639 LITTLE BOURKE STREET,MELBOURNE,UNIT,Capital City Zone,77,Large
151 FITZROY STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,76,Large
9 DARLING STREET,STONNINGTON,FLATS,General Residential Zone,76,Large
7 THOMAS HOLMES STREET,MARIBYRNONG,HOUSE,Comprehensive Development Zone,76,Large
140 SWAN STREET,YARRA,UNIT,Commercial 1 Zone,76,Large
251 JOHNSTON STREET,YARRA,UNIT,Commercial 1 Zone,76,Large
14 NICHOLSON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,76,Large
585 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,76,Large
11 FLOCKHART STREET,YARRA,UNIT,Commercial 1 Zone,76,Large
7 KING STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,76,Large
220 COMMERCIAL ROAD,STONNINGTON,UNIT,Activity Centre Zone,76,Large
70 SPEAKMEN STREET,MELBOURNE,UNIT,General Residential Zone,76,Large
60 MARKET STREET,MELBOURNE,UNIT,Capital City Zone,76,Large
12 YARRA STREET,STONNINGTON,UNIT,Activity Centre Zone,76,Large
311 BURWOOD ROAD,BOROONDARA,UNIT,Commercial 1 Zone,76,Large
91 TRAM ROAD,MANNINGHAM,UNIT,Activity Centre Zone,75,Large
22 KAVANAGH STREET,MELBOURNE,UNIT,Capital City Zone,75,Large
102 CAMBERWELL ROAD,BOROONDARA,UNIT,Commercial 1 Zone,75,Large
394 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,75,Large
6 EVERGREEN MEWS,STONNINGTON,UNIT,Mixed Use Zone,75,Large
31 SPRING STREET,MELBOURNE,UNIT,Capital City Zone,74,Large
9 HEWITT AVENUE,MARIBYRNONG,UNIT,General Residential Zone,74,Large
163 CREMORNE STREET,YARRA,UNIT,Comprehensive Development Zone,74,Large
102 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,74,Large
838 BOURKE STREET,MELBOURNE,UNIT,Docklands Zone,74,Large
418 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,74,Large
300 VICTORIA STREET,MERRI-BEK,UNIT,Commercial 1 Zone,74,Large
478 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,74,Large
148 WELLS STREET,PORT PHILLIP,UNIT,Mixed Use Zone,73,Large
67 GALADA AVENUE,MELBOURNE,UNIT,Residential Growth Zone,73,Large
442 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,73,Large
