full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"228 A'BECKETT STREET, MELBOURNE",MELBOURNE,HOUSE,Capital City Zone,large_area,MELBOURNE,121,Large
"61 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,121,Large
"470 ST KILDA ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,large_area,MELBOURNE,120,Large
"408 LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,120,Large
"50 CLAREMONT STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,120,Large
"250 ST KILDA ROAD, SOUTHBANK",MELBOURNE,UNIT,Mixed Use Zone,large_area,SOUTHBANK,119,Large
"668 BOURKE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,119,Large
"15 DOEPEL WAY, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,118,Large
"74 QUEENS ROAD, MELBOURNE",PORT PHILLIP,UNIT,Residential Growth Zone,large_area,MELBOURNE,118,Large
"421 DOCKLANDS DRIVE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,118,Large
"14 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,118,Large
"118 RUSSELL STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,116,Large
"38 KAVANAGH STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,116,Large
"70 LORIMER STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,116,Large
"296 LITTLE LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,116,Large
"576 ST KILDA ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,large_area,MELBOURNE,115,Large
"57 SPENCER STREET, DOCKLANDS",MELBOURNE,UNIT,Capital City Zone,large_area,DOCKLANDS,115,Large
"23 BATMAN STREET, WEST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,WEST MELBOURNE,115,Large
"347 CAMBERWELL ROAD, CAMBERWELL",BOROONDARA,UNIT,Commercial 1 Zone,large_area,CAMBERWELL,115,Large
"27 THERRY STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,115,Large
"632 DONCASTER ROAD, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,115,Large
"604 SWANSTON STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,large_area,CARLTON,115,Large
"280 ALBERT STREET, EAST MELBOURNE",MELBOURNE,UNIT,Commercial 1 Zone,large_area,EAST MELBOURNE,114,Large
"2 GOLDING STREET, HAWTHORN",BOROONDARA,UNIT,Commercial 1 Zone,large_area,HAWTHORN,114,Large
"225 ELIZABETH STREET, MELBOURNE",MELBOURNE,HOUSE,Capital City Zone,medium_area,MELBOURNE,114,Large
"60 LORIMER STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,113,Large
"125 FRANCIS STREET, YARRAVILLE",MARIBYRNONG,UNIT,General Residential Zone,large_area,YARRAVILLE,112,Large
"610 ST KILDA ROAD, MELBOURNE",PORT PHILLIP,UNIT,Commercial 1 Zone,large_area,MELBOURNE,111,Large
"5 SUTHERLAND STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,111,Large
"7 ASPEN STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,Activity Centre Zone,large_area,MOONEE PONDS,111,Large
"72 WESTS ROAD, MARIBYRNONG",MARIBYRNONG,UNIT,Mixed Use Zone,large_area,MARIBYRNONG,111,Large
"42 PORTER STREET, PRAHRAN",STONNINGTON,UNIT,Activity Centre Zone,medium_area,PRAHRAN,111,Large
"333 EXHIBITION STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,MELBOURNE,110,Large
"4 BIK LANE, FITZROY NORTH",YARRA,UNIT,Mixed Use Zone,large_area,FITZROY NORTH,110,Large
"38 BANK STREET, SOUTH MELBOURNE",PORT PHILLIP,UNIT,Mixed Use Zone,large_area,SOUTH MELBOURNE,110,Large
